Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C101, C102, C104, C105, C106, C107, C108, C121, C2, C3, C66, C7, C78, C79, C8, C80, C81, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C98, C99",C_0402_small,34,100nF,C307331
"C10, C112, C113, C115",C_0402_small,4,10nF,C15195
"C100, C103, C11, C12, C122, C13, C14, C15, C22",0603,9,10uF,C96446
"C109, C18, C20, C21, C23, C24, C25, C26, C9",C_0402_small,9,4.7uF,C23733
"C110, C111, C114, C116",C_0402_small,4,6.8pF,C88896
C120,C_0402_small,1,100pF,C1546
"C16, C17, C19, C31, C32, C33, C34, C35, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C65, C67, C68, C69, C70, C72, C74, C76",C_0402_small,42,1uF,C52923
"C27, C28, C29, C30",0603,4,22uF,C59461
"C61, C62, C63, C64",C_0402_small,4,1nF,C1523
C71,CAPCP3225X100N,1,CPH3225A,
"C73, C75, C77",C_0402_small,3,2.2uF,C12530
D1,D_SOD-323,1,1N5819WS,C191023
"D3, D4",D_MicroSMP_KA,2,MSP3V3-M3/89A,C506620
D5,0402,1,LED_B,C130723
D6,0402,1,LED_R,C130723
D9,DIODE_ESDA7P120-1U1M_STM,1,ESDA7P120-1U1M,C2969802
J1,GCT_MEM2090-00-145-00-A_REVA,1,MEM2090-00-145-00-A_REVA,
J2,SAMTEC_FTSH-107-01-L-DV-K-A,1,FTSH-107-01-L-DV-K-A,
J3,HIROSE_FH12-30S-0.5SH_55_,1,FH12-30S-0.5SH_55_,C506793
J6,GCT_USB4510-03-1-A_REVA,1,USB4510-03-1-A_REVA,C5815192
L1,1210,1,4.7uH,C703083
"L2, L3, L4, L5",1008,4,1uH,C882955
L6,0603,1,1uH,C76799
Q1,CSD23381F4,1,CSD23381F4,C129355
"Q2, Q3, Q4",Texas_PicoStar_DFN-3_0.69x0.60mm,3,CSD13380F3,
"R1, R2",0402,2,5k1,C25905
"R10, R12, R13, R20, R21, R37, R51, R58, R59, R61, R63, R65, R8, R9",0402,14,10k,C25744
R11,0402,1,6.8,C38373
R15,C_0402_small,1,1M,C26083
"R16, R66, R71",0402,3,0,
"R17, R18",0402,2,240,C25094
"R19, R69",0402,2,100,C25076
"R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R38, R39, R40, R41, R42, R43, R44, R45, R46",0402,24,56,
"R3, R4, R48, R49, R50, R52, R53, R72",0402,8,47k,C25792
"R54, R55",0402,2,~,
"R56, R57, R6, R7, R70",0402,5,3k,C25784
"R60, R62, R64",0402,3,10k,
R67,0402,1,1k,
R68,0402,1,10,
"S1, S5",SW_EVQ-9P701P,2,EVQ-9P701P,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP4, TP5, TP6, TP7, TP8, TP9",TP_0.5,30,TestPoint,
U1,DRB8_1P75X1P5,1,TPS61042DRBR,
"U13, U6, U7, U8, U9",IC_HSP051-4M10,5,HSP051-4M10,
U3,QFN40P600X500X80-45N,1,STPMIC1APQR,C2156052
U4,ST_LFBGA-354_16x16mm_Layout19x19_P0.8mm,1,STM32MP157FABx,
U5,BGA96C80P9X16_1400X800X120,1,MT41K256M16TW-107_P,C253882
Y1,XTAL_NX2012SA-32.768K-STD-MUB-1,1,NX2012SA-32.768K,
Y2,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,ECS-2520MVQ-240,
